id,nombre,razon_social,scian,actividad,personal,municipio,estado,telefono,correo,sitio_web
12334162,TRASPORTES HIDRO HIDALGUENSES,TRASPORTES HIDRO HIDALGUENSES,212311,Minería de piedra caliza,0 a 5 personas,Pabellón de Arteaga,AGUASCALIENTES,4651017900,TRASPORTESHIDALGUENSES@HOTMAIL.COM,
6142310,AUTO TRANSPORTES DE MATERIALES PARA LA CONSTRUCCION,AUTO TRANSPORTES DE MATERIALES PARA LA CONSTRUCCION,237312,Construcción de carreteras, puentes y similares,0 a 5 personas,Aguascalientes,AGUASCALIENTES,4491553550,AUTOTRAMAT@HOTMAIL.COM,
6142372,COSTRUCCIONES Y TRASPORTES OROMAR SA DE CV,COSTRUCCIONES Y TRASPORTES OROMAR,237312,Construcción de carreteras, puentes y similares,0 a 5 personas,Aguascalientes,AGUASCALIENTES,,OROMARSA@HOTMAIL.COM,
11448678,SERVICIOS Y TRANSPORTES ESPECIALES ROOT,SERVICIOS Y TRANSPORTES ESPECIALES ROOT,236221,Edificación de inmuebles comerciales y de servicios,51 a 100 personas,Aguascalientes,AGUASCALIENTES,4491041342,ROOT_SERVICIOS@HOTMAIL.COM,
6142239,TRANSPORTE MAQUINARIA Y CONSTRUCCIONES,TRANSPORTE MAQUINARIA Y CONSTRUCCIONES,237312,Construcción de carreteras, puentes y similares,11 a 30 personas,Aguascalientes,AGUASCALIENTES,4491866883,TRAMAC@HOTMAIL.COM,
6281345,RENOVADO DE LLANTA PARA TRANSPORTE PESADO VIGUSA,VITALIZADORA GUZMAN,326212,Revitalización de llantas,31 a 50 personas,Aguascalientes,AGUASCALIENTES,,,
7700681,HOJALATERIA 3 HERMANOS,,336999,Fabricación de otro equipo de transporte,0 a 5 personas,Aguascalientes,AGUASCALIENTES,4495505491,,
10127136,INOX-DS,,336999,Fabricación de otro equipo de transporte,0 a 5 personas,San Francisco de los Romo,AGUASCALIENTES,4499075500,,
6905684,JAS INOX,,336999,Fabricación de otro equipo de transporte,0 a 5 personas,Aguascalientes,AGUASCALIENTES,,,
9801808,VENTA DE ROPA,,463211,Comercio al por menor de ropa,0 a 5 personas,Aguascalientes,AGUASCALIENTES,4492880972,,
