Nombre de la Unidad Económica,Razón Social,giro,scian,personal,municipio,estado,Teléfono,Correo electrónico,sitio_web,fecha_denue
PRIMERA PLUS,PRIMERA PLUS,Transporte colectivo foráneo de pasajeros de ruta fija,485210,31 a 50 personas,Colima,Colima,3148027,GFUNACOLIMA@PRIMERAPLUS.COM.MX,,2026-04
PRIMERA PLUS,PRIMERA PLUS,Transporte colectivo foráneo de pasajeros de ruta fija,485210,0 a 5 personas,Manzanillo,Colima,3336000014,RHGUAD@PRIMERAPLUS.COM.MX,WWW.PRIMERAPLUS.COM.MX,2026-04
PRIMERA PLUS Y FLECHA AMARILLA,PRIMERA PLUS Y FLECHA AMARILLA,Transporte colectivo foráneo de pasajeros de ruta fija,485210,31 a 50 personas,Tecomán,Colima,,WWW.PRIMERAPLUS.COM.MX,,2026-04
QUALITY SHIP SUPPLIERS,QUALITY SHIP SUPPLIERS,Otros servicios relacionados con el transporte por agua,488390,0 a 5 personas,Manzanillo,Colima,4437252795,FACTURACION@CUALITYSHIPSUPPLIERS.COM,WWW.QUALITYSHIPSUPPLIERS.COM,2024-11
REPRESENTACIONES MARITIMAS,REPRESENTACIONES MARITIMAS,Transporte marítimo de cabotaje,483112,11 a 30 personas,Manzanillo,Colima,,WWW.MARITIMEX.COM.MX,,2024-11
REPRESENTACIONES MARITIMAS,REPRESENTACIONES MARITIMAS,Otros servicios de intermediación para el transporte de carga,488519,11 a 30 personas,Manzanillo,Colima,,VPENA@MARITIMEX.COM.MX,WWW.MARITIMEX.COM.MX,2023-11
REPRESENTACIONES TRANSPACIFICAS TRANSPAC,REPRESENTACIONES TRANSPACIFICAS TRANSPAC,Transporte marítimo de altura,483111,11 a 30 personas,Manzanillo,Colima,5527363658,NAGUILAR@TRANSPAC.COM.MX,,2019-11
PEMEX LOGISTICA,RESIDENCIA DE ALMACENAMIENTOS Y SERVICIOS PORTUARIOS MANZANILLO,Otros servicios de intermediación para el transporte de carga,488519,0 a 5 personas,Manzanillo,Colima,,,,2026-04
RIVAL TRANSPORTE,RIVAL TRANSPORTE,Autotransporte foráneo de carga general,484129,11 a 30 personas,Manzanillo,Colima,,,,2024-11
RR LOGISTIC,RR LOGISTICS,Otros servicios de intermediación para el transporte de carga,488519,0 a 5 personas,Manzanillo,Colima,,,,2025-04
